gene_name,HH001_A1_SA_S1,HH001_B1_SA_S2,HH001_B3_SA_S3,HH003_A1_SA_S4,HH003_A3_SA_S5,HH003_B3_SA_S6,HH003_D_SA_S7,HH003_K_SA_S8,HH003_R_SA_S9
TNKS2,679,410,1242,1638,471,86,413,58,31
AC093763.1,0,0,1,27,2,8,6,2,0
AC108721.1,1,2,3,15,1,9,10,1,1
EEF1DP1,0,2,1.014,7.073,1.012,2.089,1.032,1.029,0
AP001189.4,0,0,1,4,4,1,2,0,0
AC040169.3,4,20,39,31,24,3,8,0,0
NPEPPS,3373.072,2818.583,9895.701,6717.677,2234.246,531.087,1916.179,333.831,178.479
RSPO4,1,5,12,53,20,6,14,10,2
PACRG-AS2,0,2,5,30,16,11,9,5,1
AC008133.2,0,0,2,18,8,5,8,1,1
AC133552.3,0,6,23,43,16,25,21,5,1
AC022784.1,1.054,5.626,30.535,78.89,22.714,15.226,30.112,2.078,2.094
KAT6B,241.014,225.784,538.822,762.959,246.996,173.805,296.838,85.305,24.242
TNFRSF1A,1665.332,1350.047,2826.847,2709.305,1149.035,217.254,708.861,227.829,65.802
AC093106.2,0,0,0,8,7,2,4,0,0
CNTNAP4,2,4,29,178.967,45.264,68,69,26,9
AC025048.5,0,1,1,7.5,1.5,0,0,0,0
MIR6778,0,0,0,0,0,0,0,0,0
N4BP3,5,10,21,73,23,22,36,1,3
DLG5-AS1,25.173,27.426,143.009,241.237,95.921,50.187,77.68,18.546,10.432
ODF2,72.669,117.434,279.701,291.266,132.894,32.519,124.337,21.283,5.573
HMGB3P12,1,0,1,21,2,3,1,3,0
RNU1-34P,10.503,2.551,6.245,3,2.361,2.174,0,2,0
BNIP3P10,0,0,15.314,26,6,4.294,10.017,1,0
HMGN2P15,0,1.104,0,2.629,1.063,3.477,1.239,1,0
AL034374.2,0,0,0,12,6,1,3,1,0
AC080013.4,0,0,24,27,13,6,14,1,0
AC099563.1,0,0,6,21,3,5,7,0,1
RN7SL556P,35.493,12.407,56.786,31.3,20.677,1.67,4.916,0,0
BBS12,12,12,29,85,31,14,23,11,3
AC009500.1,0,3,0,29,6,14,18,3,2
AC022387.1,0,0,3,28.458,3,10.606,12.734,4,0
AC007686.2,4,7,23,17,8,9,6,4,1
AC138649.1,21.476,24.44,45.927,194.828,51.458,63.815,75.274,12.212,1.183
AL355607.1,0,0,1,17,3,6,4,3,0
EXOSC4,31,19,34.072,69.037,20.639,17,23.318,10,3
AC142086.2,0,0,1,2,0,1,0,0,0
RBM43,93,90.474,267.657,553.144,184.245,81.813,123.697,35.758,12.759
NEUROD6,1,3,6,67,17,16,32,9,3
AC073111.5,12,18.13,37.513,57.763,24,15,34,11.58,4
RELT,1318.999,1215.001,1271.001,1497,685,149,398,108,25
AC005779.2,9.311,3.924,11.489,12.315,5.74,0,3.318,0,0
ZNF69,48.573,63.19,185.101,228.696,87.416,36.011,51.943,15.044,3.247
AC087277.1,0,0,0,17,6,0,2,0,1
ANKRD62P1-PARP4P3,4.001,2.001,9.782,37.329,16.116,13.616,13.482,9.325,5
LINC02298,1.02,6,9.383,29.397,2,4,7,1,0
PEX12,17,13,83,129,34,25,72,12,1
RBAKDN,0,0,0,2.826,0,1,0,0,0
UBA2,259.707,234.952,576.133,596.485,272.497,98.913,191.988,72.869,27.967
AC127537.2,0,2,47,22,8,0,3,4,0
LINC00663,75.404,103.668,240.336,417.433,145.64,98.639,191.043,42.129,22.401
OR2M2,0,1.003,4,42.202,11.133,7.031,13.051,5,0
SMIM9,0,1,1,27,3,5,5,3,2
AC121161.1,0,3,1,21,8,7,10,0,1
RNU6-487P,21.062,8.106,7.004,5.187,5.023,7.018,0,1.002,0
AC021097.1,4,8,0,0,6.908,7,13.783,2,2
MTND4LP25,0,1,0,8,1,1,0,0,0
TRNP1,4,4,3,30,16,5,5,2,0
FP325313.1,0,0,3.736,16.733,0,2.184,4.321,4,1
RN7SL174P,4,14,39.392,52.172,29.877,2,9,4,1
SCARNA4,1312,753,798,120,252,589,43,115,34
DDX39BP2,0,2,1,5.93,5,0,5,0,0
OLMALINC,955.294,4960.192,40940.942,71120.869,25002.021,18825.691,27472.397,6657.481,2106.944
LNCPRESS1,0,4,5,9,5,10,5,8,0
RN7SL520P,0,2,10.774,12.749,9,5.081,6,3,0
AC008267.6,1.432,4.846,6.326,2,1,0,0,0,1
ELOA,104,91,190.783,359.204,110.948,45,131.169,26,16
AC006449.7,3,4,43.228,75.904,13.234,0,16.159,1,1
TOP2A,50,24,110,262.001,105,78.001,131,37,19
THOC1,124.002,110,417.75,457.729,163.503,102.462,199.079,45.998,23
KRT18P56,0,0,0,14.195,2,1,2,0,1
RAMP1,0,1,2,10,4,0,7,0,0
ACTRT2,0,1,0,8,1,3,2,2,0
LINC02525,3,6,7.003,63.081,28,19,21.084,0,4
LINC01264,0,1,1,8,1,0,0,0,0
CASP16P,20.577,28.472,157.217,217.065,100.667,42.851,80.439,13.2,3.196
TOM1L1,10.604,17.81,59.416,208.572,71.828,65.436,85.587,38.718,14.405
AHDC1,29,32.999,109.169,158.168,86.738,43,75.18,16,5
AC093908.1,9.005,32.081,184.758,409.911,143.252,138.565,140.639,53,10.164
AL929288.2,0,0,0,6,7,1,4,2,0
SC5D,72.846,59.619,189.475,288.403,94.323,123.239,123.472,38.175,9.246
CSNK2A2,170,124,350.084,641.372,192.664,85,249.367,37,12
PRR31,1,0,2,15,2,7,3,6,3
AC244107.2,0,0,0,3,0,0,0,0,0
MTCO3P22,2,1,1,47,18,6,18,2,0
MTRR,213,117.998,298,584.415,167.999,64.001,157.247,33.999,10
FPR3,15.006,18.005,57.032,103.017,42.01,18,44,9,4
COX6B1P6,1,1,1,6,0,3,1,0,0
SNX4,91.601,82.021,163.467,193.749,71.626,24.533,67.05,13,7
AC024361.1,89.515,145.193,222.338,731.772,203.271,246.839,211.924,90.439,34.676
WWTR1-AS1,17.749,26.654,83.246,105.262,59.587,12.088,49.936,9.893,0
TMEM230,414.457,362.71,1069.86,780.437,261.937,60.867,215.445,32.661,31.727
FAM230B,8.031,29.045,83.389,502.007,159.92,169.285,210.333,72.522,25.975
AC108751.5,0,1,8,23,5,1,10,6,6
HIF3A,159.825,154.429,444.769,743.106,253.905,74.392,249.823,47.101,18.224
RNU6-600P,0,0,1,3.005,1,1,1,2,0
FANCD2OS,3.586,8.319,26.658,86.057,23.3,7,32.221,5.947,3.643
AL662800.1,10.832,15.73,63.634,228.853,69.623,24.116,73.026,15.134,7.461
TAC1,0,1,6.999,43,15,19,15,7,2
GK-IT1,26.976,23.483,101.057,188.742,27.723,6.689,29.132,8.801,1.191
WASH6P,218.164,205.673,324.712,515.015,214.937,80.208,219.048,45.73,18.213
AC021818.2,2,3,19,50,9,3,4,1,0
NPM1P45,0,0,1,7,6,2,7,1,0
MAP3K3,779.001,783.001,1884.535,1739.683,656.323,112,508.031,67,32.001
RPL7AP28,0,0,3,10.363,6,6,4.778,0,0
LINC02529,0,1,2,21,8,5,10,4,1
AC011450.1,23.966,29.352,70.007,56.604,26.41,10,6.601,2,1
CYFIP1,169,169.002,359.71,506.637,268.79,110.001,195.26,36.999,10
DPRXP5,0,0,3,31,1,4,7,0,1
KLK12,0,5,9,46.297,18,3,19,9,4
TMEM220-AS1,1,3,12.642,86.215,31,11,28.063,6,1
HSFY6P,0,2,0,0,0,1.401,0,0,0
ZNF883,30.436,57,127.718,332.679,97.567,59.145,125.504,43.635,17.452
AC078974.1,0,0,0,9.949,0,0,0,1,1
APOF,10.268,9.299,71.795,132.219,40.302,23.349,36.398,2.013,0
MIR378F,0,0,1,8,0,2,1,0,0
AP001790.1,0,4.637,4.309,12.504,1.107,6.552,7.097,2.615,0
DDX43P3,0,1,1,9,5,5,2,4,2
RN7SKP17,0,0,2,7,1,4,1,0,2
KLHL25,11,10,20,67,32.001,15,43,10.001,3
AC016991.1,0,0,1,2,0,1,5,1,0
AC139099.2,1,0,15,26,14,7,10,0,1
ZNF506,1076.748,1572.093,2956.935,2499.971,1050.303,383.301,853.888,233.178,117.933
FAM209A,24.058,35.128,89.759,58.377,20.37,6.6,20.5,1,0
RN7SL668P,2,2,14,19,7,2,13.933,1,0
AC007391.1,0,0,1,10,2,3,3,3,0
AC074011.1,1,2,6,20,6,7,10,1,0
STX7,4206.31,3019.363,8120.083,10411.879,2772.255,578.794,2262.329,338.442,226.581
MIR198,0,0,0,0,0,0,0,0,0
Z83818.1,1,0,0,0,0,1,0,0,0
E4F1,56,55.001,43.001,100,41.999,18,35,16,7
AC104986.2,11,3,44,39,9,2,14,2,4
AL391156.1,0,0,2,9,1,3,3,1,1
AL137077.1,6,21,48,22,17,5,11,1,0
AC105185.1,0,0,4,11,2,6,10,3,0
AC090950.2,0,0,17.87,23.841,4.771,7.533,18.155,0,0
AC006463.1,0,1,0,7,7,3,5,1,0
SIPA1L2,408,202,737.999,1162,351,102,267,43,19
RN7SKP70,34.362,16.568,67.973,49.918,15.662,2.937,7,0,1
NEPNP,2,0,5,35,11,16,10,2,0
AC005160.1,0,1,1,13,1,2,10,1,1
AP003108.3,15.485,32.377,111.877,141.547,38.425,47.436,31.933,14.121,3.565
AC006355.2,0,0,2,11,7,3,10,1,1
AC104629.1,0,0,2,24,4,8,12,0,0
ZDHHC8,40,42.001,19,78,30,14,41,14,2
DUSP11,208.155,237.91,669.539,1097.519,334.944,271.887,372.595,121.643,43.097
FTH1P1,0,1.011,28.095,30.071,10.04,4.045,12.102,0,0
AL451074.1,2.886,5.545,19.794,70.739,13.429,18.88,23.526,7.363,1.017
HOXC12,1,5,9,70,24,23,23,13,5
ATP5G3,131.542,122.064,332.824,475.252,143.441,86.719,146.121,23.076,13.629
AC019084.1,0,0,0,11,0,3,0,1,0
AC060766.1,7.647,4.679,20.675,65.687,9.534,2.341,25.664,3,1
RNU2-43P,0,1,0,1,3,1,3,0,0
ARAP1-AS2,6,8,365.341,411.182,174.974,6,120.824,3,0
AL449043.1,0,0,3.172,23.257,18.596,5.931,8.701,0,1.503
AC027277.1,1.062,4.77,0,0,0,12.256,0,3.317,1
CYLC1,0,2,4,56,14,13,13,4,0
TMPRSS11D,2,9,19,143.002,35,43,54,16,7
LYPLAL1-AS1,1,0,5,12,7,8,10,1,1
RNU6-433P,13,17,59,71,22,0,21,3,0
TRBV22-1,0,0,2,7,2,1,1,0,0
LINC02419,31.226,23.418,53.453,99.927,38.39,11.399,50.277,4.702,3.428
SNAP23,1602.96,1333.53,2268.584,2890.256,789.924,166.143,603.344,136.67,48.153
AC090772.2,0,3,68,49,19,7,20,3,3
INSIG2,355,194.999,571,680.001,202.001,88.999,184,25.999,20
E2F6P4,0,0,1,2,0,4,4,2,0
AC019181.1,1,1,5.005,5,1,0,2,0,0
AC084024.2,0,1,34,33,17,3,13,5,0
AL627309.3,0,0,0,0,0,0,0,0,0
LYPLAL1,240,187.001,599.999,424,152.999,39,101.999,23,20
AC113155.1,0,4,421,162.441,77.934,12,39,2,2
AC096537.1,0,2,0,22,10,5,8,0,0
LDHBP1,6.887,11.427,60.994,109.384,17.183,26.086,29.466,7.502,2.272
OR8K5,0,2,1,29,3,4,2,4,1
PIGK,132,70,253.625,414,157,105,146.999,57,22
AC215522.1,39,15,92,120,46,16,29,10,5
RALB,561.001,299.999,879.999,2149,362,101,367.001,41,19.999
TRGV5P,1,3.147,12.453,30.59,3.308,5,6,0,0
AC112229.2,0,2.607,1.764,34.57,2.4,8.21,14.616,13,4
CDK2AP2P3,0,0,0,2.348,0,0,0,0,0
MIR2278,0,3,5,3,1,0,0,0,0
AL109954.1,1,2,10,42,17,8,13,2,0
HACD3,228.657,319.348,1143.077,2724.809,739.475,427.698,997.862,168.335,73.103
RNU6-508P,0,0,0,4,1,0,2,0,1
TXNP7,0,0,0,6,2,1,1,0,0
RPS20P14,0,0,3.397,8.934,2.116,2.138,3.606,0,0
RNU6-913P,1,0,0,0,0,0,1,0,0
TMEM206,48,31,240.999,208.001,75,17,84.999,10,7
RN7SKP280,1,0,1,6,2,2,0,0,0
MIR7515,0,0,0,0,0,0,0,0,0
AC022916.3,0,0,4,21.583,3.554,4.064,12.445,2,2
Z83836.1,1,2,6,28,2,12,13,0,4
RNA5SP328,0,0,0,1,0,2,0,0,0
PDE1B,183.784,131.55,333.943,645.097,203.948,117.124,159.241,43.741,19.773
AC006509.2,0,0,1,6,1,1,2,0,0
YBX2,0,8,8,93.302,16,14,35,6,2
AL022319.1,0,1,4,20.642,4,2.116,17,3,0
AC090971.5,7,4,7,28,10,10,17,6,0
AC138853.1,0,0,0,39.018,9.808,23.642,10.092,11.128,0
BOC,32,43.367,97.607,274.932,94.296,51.027,90.643,26.947,13
AP000688.4,1,2,14,27,4,9,16,1,1
TMF1,424.974,332.88,1027.301,1252.663,389.605,105.77,377.578,57.489,23.282
ERICH3,1,23.189,47.684,289.7,97.797,146.255,103.36,45.451,9
SNX2P2,0,0,0,8,2,1,2,0,0
DNAJC27-AS1,224.99,268.35,616.969,661.064,248.693,83.405,241.4,61.081,22.773
GAPDHP15,0,1,3,16.769,2.762,3,1,0,0.5
AC008550.1,0,2,0,9,3,1.044,7,0,0
GPR6,0,1,1,27,1,7,11,2,0
AC091133.5,0,0,4,1,2,0,1,0,0
SNORD115,0,0,8,2,1,1,2,1,0
KLHL32,5,14.031,26.182,76.896,31,32.223,35.427,10,3
TBX2,4,3,8,70,25,13,28,7,2
AC211429.1,28.306,21.647,42.29,0,10.24,2.264,0,0,0
NDUFA9P1,2.017,0,6,10,2,4.041,4,1,2
AC133141.1,0,1,2,13,4,8,1,0,0
AC116337.3,1,1,5,26,7,6,14,0,1
EGLN3,14,34,60.999,258.999,94,64.001,108.999,27,8
AC021491.2,0,3,6,7.578,3,2,2,1,0
RNA5SP405,0,0,0,3.035,1.009,3.01,2,0,0
AC008569.1,0,1,62.662,146.33,31.63,2,32.067,1,0
ACSL1,10582.743,5029.131,11026.364,22087.983,7163.731,742.186,4010.641,407.21,141.724
SDHAF4,99.166,120.175,363.359,307.462,142.763,38.199,94.896,8.391,2.115
SCN1B,436.607,463.94,774.14,659.634,293.795,77.393,224.743,59.119,18.936
ZBTB38,296.802,208.32,739.473,1115.982,296.941,194.15,454.154,76.074,28
CCDC155,8,25.874,33.001,127.821,39.563,29.551,45.251,12,3
RBBP8,51.343,22,127.208,341.264,97.002,41.999,107.001,30,9
AC132825.7,0,0,2,23,3,2,13,0,2
MSLN,1,1,4,34,10,1,17,7,2
AL157871.3,0,0,67.39,188.289,18.356,4.713,15.368,0,0
AL360181.1,0,2,3,12,2,3,6,1,0
AC022164.1,1,7,30,127.505,38,39,53.78,16,8
AC090616.7,173.971,194.264,580.025,491.776,168.977,85.849,239.643,40.089,20.121
VN1R104P,0,3,2,40.235,4,2.059,8.136,0,0
AL354733.3,2,0,133.968,299.966,44.676,4,88.985,2,1
TARDBP,682.525,462.088,1327.184,1563.054,443.866,201.483,518.13,75.053,46.001
MIR4713HG,8.925,20.69,69.417,96.999,16.143,8.74,28.327,4.505,0
OR8A1,49.879,104.228,566.102,1106.641,392.623,248.041,390.995,85.273,25.717
AL080317.1,32.533,35.488,199.898,477.399,130.368,99.712,148.398,37.428,23.686
AC015813.7,0,1,0,7,3,0,3,0,0
AC090527.3,1,2,5.766,27.15,8,6,5,2,0
AC091885.2,1,10,5,38,17,32,25,20,5
AC022080.3,0,0,15,11,1,2,3,0,1
AC130289.2,0,0,0,0,0,0,0,0,0
FNDC3B,2362.849,1237.83,4056.949,6639.749,1550.621,221.609,1453.417,177.648,79.269
CYB5D1,22.726,27.779,34.609,10.105,4,0,13.196,2,1.47
RARS2,148.162,103.198,393.225,534.775,163.639,85.286,194.176,42.418,18.118
CYCSP1,0,0,0,5,1,4,6,0,0
EIF4EP4,0,1,3,10,4,0,3,1,0
AC037487.1,33.769,37.441,158.463,234.449,82.868,73.617,93.184,23.445,10.927
TRIM36-IT1,4.026,8.054,6.137,27.19,9.313,8.137,7.247,0,0
HNRNPDP2,0,0,4,15,17,10,10,3,2
AP005671.1,0,0,5,21,4,2,14,0,0
HCK,1566.498,1285.585,2494.186,2717.317,1003.89,138.543,729.248,114.408,33
TENM2,0,11,34,228.999,68,56,89,27,4
RGS10,50,42,298,811.999,73,10,99,19,12
GSR,637.892,623.054,1508.404,1345.112,564.375,98.401,339.135,76.533,30.514
RAD9B,37.339,45.961,177.88,355.736,91.119,65.449,99.28,13.301,12.02
CRLS1,258.658,223.54,610.71,706.949,310.79,117.876,237.875,76.057,37.415
AC010323.1,0,0,0,0,1.563,0,1.19,1,0
LINC02547,46.057,51.926,422.231,535.304,186.864,52.87,170.386,40.27,26.247
AP003499.2,53.035,55.414,123.392,162.885,64.415,18.368,58.077,15.025,0
snoMe28S-Am2634,0,0,2,6.046,0,7.887,6.204,3,0
AL137190.1,0,0,0,2,2,1,1,0,0
TPRXL,133.244,162.072,267.37,496.376,174.723,79.219,191.874,44.686,18.473
ENTPD2,0,2,5,31,9,4,13,2,0
AC025038.1,0,0,7,19,8,7,4,1,1
RNU7-30P,0,0,2,1,0,2,0,0,0
CENPB,42,35,38.262,88.241,27.683,15,44.664,20,12
PCP2,1,7,6,15.247,5,1,7.598,1,0
GTF2IRD1P1,0,2,14.905,72.013,13.797,11,17.772,4,2
BTRC,85,52.001,313.001,384,141.999,59,153,40,13.999
WDR92,89.641,91.025,400.02,365.069,133.217,68.776,112.227,42.143,8.938
AC011451.3,1,3,3,27,9,4,10,5,0
MIR377,0,0,0,3,1,1,2,1,0
SEC14L3,52.9,52.992,54.906,154.077,59.423,33.55,61.628,19.967,2
AL139094.1,3,0,2,26,7,5,6,1,1
PIK3CD,1974.414,1981.506,3184.293,2593.465,1119.755,204.548,749.847,193.567,42.317
AL359715.1,0,0,31,19.019,4,3,6,0,0
GTSE1-AS1,12,11,56.692,112.225,37.071,14.058,31.105,6.022,2
NTAN1P2,23,25,74,58,15,6,19,2,4
MIR4469,1,4,5,0,0,0,0,0,0
FAM192BP,0,5.016,13.058,32.905,17.262,25.861,11.081,5.574,0
TRBV7-5,1.271,2,1,9,1.931,2,2,6,0
AC068647.2,0,0,1,30,4,5,8,2,2
AC063944.2,0,3,6,12.037,6.057,2,17,1,0
AC245407.1,1.123,25.339,20.954,198.468,62.116,72.779,63.477,12.075,0
C3orf62,440.194,481.74,1656.464,1403.016,421.824,126.251,389.999,83.122,18.118
AL358472.2,12,9,30.262,50.224,31,8,19.25,6,2
AC026316.1,1,1,1,2,0,0,2,0,1
AC079880.1,0,4,8.527,31.644,7.082,18,18.528,5.06,0
AL160313.1,3,4,0,7,4,2,2,3,0
NPM2,0,2,7,31.001,4,8.001,7,4,0
AC007066.2,26.643,31.407,173.13,218.76,72.784,40.354,64.367,15.026,5.053
AC022535.1,13,11,24.409,54.995,13.212,13,20.406,5,4
RNU6-1242P,0,0,8.968,0,0.869,1,4,2,0
AL358334.3,5,15,200.011,160.345,63.797,7,32.503,1,0
KRT16P6,2,7,14,61.046,19.986,17,18.311,8,7
AGO3,1311.758,1249.567,4269.64,4036.038,1479.346,443.332,1237.862,250.811,132.035
RNU7-95P,0,0,0,0,0,0,0,0,0
MIR378H,2,3,1,4,2,2,0,0,0
HDGFL1,1,2,8,43,9,3,13,4,0
AC060234.1,3,4,8,16,1,2,4,2,2
RFC1,166.124,110.895,363.851,560.931,182.214,98.67,207.657,50.18,22.17
AC108097.1,0,0,0,11,7,7,6,0,0
AL008729.1,77.605,70.945,322.181,173.357,69.934,16.751,60.351,14.717,9.014
AC087392.5,2,1,2,2,1,3,4,0,1
KIRREL1,1,5,36,157,47,53,87,20,5
AC107983.1,1.328,0,4.505,1.472,2.849,0,0.644,0,0
Z98949.2,0,0,0,5,1,1,2,0,0
ITM2C,116,149.999,156.001,43.001,29,21.999,38,4,3
ABHD14A,34.805,41.814,85.31,94.08,47.449,15.438,45.189,6.748,2
TMEM44-AS1,68.4,24.029,114.724,91.553,25.045,8,20.206,4.265,2
AC006213.5,0,0,1,7,6,1,0,0,0
RNA5SP283,435.637,307.505,868.774,142.433,343.825,304.256,35.101,0,0
AC067747.1,7,6,5,15,4,1,7,0,0
AC008406.3,0,2,3,29,9,2,15,0,0
MXI1,396,354,6400.963,6717.612,1594,129,1122.178,349,210
MYH11,154.663,219.472,2248.47,1581.773,701.405,170.981,562.153,61.769,37.943
AP001496.1,0,1,0,11,13,9,16,0,0
AC078845.1,10,21.941,60.868,94.559,27,24,38.404,6.49,2
MIR4433A,0,1,0,0,0,0,0,0,0
HCG18,405.712,477.646,2155.619,3885.021,1194.474,786.156,1488.705,301.84,99.803
RN7SL214P,0,0,0,1.043,2,4.177,4,1,1.084
CTU2,13,19,21,36.054,11,3,13.376,1,1
AC131274.4,0,0,0,1.221,0,2,2,0,0
LINC01153,2,3,8,72,26,10,28,3,1
AC004552.1,0,1.537,0,22.067,0,2.652,2.702,0,0
TEX13C,0,0,112.217,108.093,40.574,30.03,24.864,4.02,1.026
LINC02103,0,1,0,38,6,17,11,5,0
AC096649.2,0,0,0,0,4.444,3,4.481,0,0
AL139339.2,0,3,0,0,5.187,5,0,2,0
AP004833.3,0,0,0,3.5,1,0,0.5,0,0
IGKV1D-17,5.859,9.455,12.003,14.834,7.615,7.273,10.947,6.712,1
UCP3,9,8,19,109,28.999,18,44,13,5
FAM46B,0,0,2,23,7,3,6,1,2
FOXRED2,37.357,54.04,163.983,394.414,108.992,62.501,139.974,34.829,9.388
BTBD1,497.759,477.62,1075.246,2135.179,597.526,242.129,782.106,122.121,42.172
KRT18P58,0,0,1,8,2,3,7.863,0,0
AC093875.1,0,1,4,15,3,0,6,0,0
ANKRD13D,1100.371,1394.97,2645.314,1472.799,769.107,171.189,455.272,177.915,47.5
ZNF415P1,50,19,106,126,27,11,44,13,1
XIAPP2,63.536,84.97,172.997,158.571,66.796,32.901,65.23,23.536,4.11
AL359535.1,0,1,3,21,5,3,9,0,0
DLEU2L,15.233,33.516,72.186,138.698,48.857,46.423,50.189,19.007,8.118
KRT36,1,1,7,20,2,4,8,0,1
AC131888.1,71.116,120.724,214.819,368.245,90.488,42.345,118.543,44.17,15.564
GRK4,26.805,41.215,109.782,246.797,85.358,56.443,102.448,22.191,5.234
CFTRP1,0,0.957,0,4.034,1.955,1,5.17,0,0
MOB1B,563.798,550.701,2502.634,2102.975,633.17,151.276,446.402,130.877,78.055
AL450344.1,40.111,56,18.438,38.503,14.626,7,18.158,6.092,3
RNASEH2C,70,78.999,183.212,108.856,66.571,33,43.748,15,1
RBMY1F,0,0,16.762,0,46.806,0,20.006,0,0
IGKV1OR2-3,0,0,3.033,2.74,0,1.211,0,0,0
SIGLEC15,37.511,52.287,311.209,426.419,181.497,88.705,135.107,48.489,18.754
ENPP2,3.005,6.072,37.238,233.347,71.146,48.015,71.832,18.105,5.028
RNU7-74P,0,0,0,0,1,1,0,0,0
AC079168.2,0,0,0,7,0,3,1,4,0
UBE3A,502.861,359.94,1153.567,1613.614,579.572,194.79,562.148,107.79,60.999
MIR147B,0,0,0,0,0,0,0,0,0
AC005242.1,0,2,0,11,4,11,3.023,2,0
BCS1L,21,31.001,90.17,113.237,39.211,39,33,16,3
OR1J1,0,1.017,19.02,38.689,13.335,5.455,15.846,0,1.091
UBA1,835.247,841.757,1897.406,1355.717,625.571,106.933,327.558,96.249,37.765
AC108037.1,0,2,6,8,4,0,6,0,0
AL157871.4,0,1,0,0,7.349,1,0,0,0
AC008680.1,0,0,66,74,14,0,14,4,0
TRAK1,298.001,271,664.044,961.011,301.005,105.014,333.299,47.005,20
RFXAP,35,28,77,64,22,19,30,10,2
NIN,2102,1432.076,4630.172,5463.703,1456.07,329.22,1544.881,179,90.999
AC021382.2,11.014,19.43,52.509,60.324,18.528,5.275,24.304,2.641,2
AP001350.2,41.133,30.627,74.602,167.939,46.338,20.036,40.233,17.07,0
TNK2,469.194,440.84,524.071,980.029,332.364,112.453,229.562,64.518,33.742
RN7SL36P,2.395,17.42,29.876,19.823,7.086,2.247,6.493,1.216,0
AL022316.1,0,4,6,15,6,2,9,1,2
C1QTNF5,0,0,1,8.965,2.56,1,0,2.946,0
AC091965.3,0,0,3,3,3,0,0,0,0
AC114498.1,0,0,0,2.479,0,0,0,1.297,1
TRBV19,1,4,18,15,1,1,12,0,0
GAPDHP59,0,0,0,4,2,0,0.956,0,0
LINC01771,5,8,21,37,19,16,18,4,1
CARD14,70.906,53.78,417.377,404.924,149.041,42.59,156.503,31.861,1
AC064850.1,1,3.095,7,27.076,7,14.711,12.355,4,0
AC098934.1,27.917,42.535,78.112,100.852,26.092,15.614,30.818,15.173,8.229
AC092590.1,0,0,3,22,2,1,15,1,0
SENP8,25.882,45.359,165.482,300.087,112.067,61.865,108.289,29.689,13.888
LINC02564,27.481,47.957,60.392,130.146,37.299,28.547,23.798,13.532,1.305
ANO8,26.776,27,48.732,106.989,37.44,20.37,48.915,18.446,7.225
AL031386.1,0,0,0,0,0,0,0,0,0
PKHD1L1,27,68.999,129,615,143,128,185,65,26
ZNF394,226.244,263.652,652.923,568.947,220.713,61.373,179.48,23.647,12.68
BST1,820.011,565.058,1577.716,1917.117,702.748,106.868,457.623,62.906,17.373
ASS1P7,0,1,1,7.174,3,4,3,0,1
AL121601.1,0,1,50,13,4,1,3,0,0
FBRS,448.999,466,665,702.001,279,102.001,276.999,83,31
AC104109.4,11.819,15.766,42.617,45.793,27.632,7.182,23.496,7.501,2.2
PTCD1,45.753,74.427,500.255,412.253,160.597,50.837,100.285,24.291,6.465
AL109797.1,1,0,0,5,2,6,2,0,0
LARGE1,70.872,75.43,256.88,688.843,213.635,145.716,325.3,69.894,41.735
MIR6503,0,0,1,1,1,0,0,0,0
COQ9,31,36,118,190,39.999,39.001,58.999,16,7
PTPMT1,30,29,63.878,82.831,35.908,15,26.42,9,3
AP000753.2,0,4,12.971,19.238,12,2,8.072,0,0
KCMF1,669.933,574.305,1415.003,1219.191,340.141,104.691,319.401,66.065,32.94
PTGES,56.637,51.055,188.962,249.013,65.633,21.327,98.683,19.402,4.743
AL157414.3,0,3,8,29,8,11,7,2,4
RPL21P92,0,3,0,15.015,2,11,9.058,2,0
SRR,3,7,20.279,69.054,16.569,19,21.219,13,2
RPL9P15,0,0,0,14,6,11,3,0,8
SMG6,139.344,120.81,378.191,520.498,146.657,74.501,260.905,36.509,14
AC073130.2,0,2.551,56.762,163.647,24.119,11.012,42.931,2.23,3.279
AL391262.1,0,1.005,95.423,168.083,35.494,18,40.044,9,3
AC090616.3,0,0,5,14.239,2,4.248,9,1,1
AP001781.2,47.891,56.838,317.282,387.558,150.237,55.68,128.993,30.984,11.332
RASA4B,128.597,168.001,290.611,332.261,125.984,39.976,102.402,18.635,10.745
AC026310.1,0,2,2,10,5,5,5,0,0
OFD1P8Y,0,0,0,4.194,8.688,0,17.756,0,0
AL034370.1,0,2.016,3.035,25.43,5.078,8.048,3.059,3.024,1.013
HSPE1P23,0,1,2,3,1,3,1,3,0
ZBTB2,60,44,117,230,58,52,54,17,4
SSX3,3,13,16.031,97.123,32.481,31.895,44.505,18.061,3
KDM5B,336.325,266.018,879.052,1182.611,409.517,141.349,407.812,69.148,21.525
MRPL42,661.141,759.751,2087.646,2391.344,829.574,271.856,710.944,172.028,86.638
AC244090.2,1,5,2,5,5,2,6,2,0
AC244196.1,2,0,7.559,12.404,4,1,4.193,0,0
FER1L5,31.119,41.315,266.162,374.94,132.53,79.13,134.342,44.122,19.142
GSTM2,143.382,227.296,1028.521,2816.171,756.615,544.577,1005.122,190.611,80.121
PDZK1,27.491,28.388,79.578,112.713,50.103,24.914,49.891,13.2,0
ZSWIM5P3,2,1,5,55.356,12,5.268,25,2,7
AC126118.1,10,8,12,42,13,13,5,6,2
ATP5J2P3,0,0,0,1,2,0,1,1,0
