gene_name,HH001_A1_SA_S1,HH001_B1_SA_S2,HH001_B3_SA_S3,HH003_A1_SA_S4,HH003_A3_SA_S5,HH003_B3_SA_S6,HH003_D_SA_S7,HH003_K_SA_S8,HH003_R_SA_S9
DIAPH2-AS1,9.948,17.026,119.094,353.381,104.097,41.213,102.008,11.746,9.068
FGF20,0,3,8,33,16,12,25,5,2
AL080243.1,0,0,3.003,11.179,4.006,2.024,9.146,0,0
AL354949.1,0,2,1,20,6,2,8,4,0
TDRKH-AS1,49.223,75.043,133.248,199.659,70.219,8.713,61.471,7.049,0
AC114956.1,5,3,5,18,1,9,9,3,1
RN7SL508P,3,4,9,11,2,2,5,0,0
HMGB1P1,0,1.143,1.073,12.671,5.099,10.845,4.582,2.252,0
RNU2-33P,4.008,0,3.146,9.035,3.73,5.016,2.011,0,0
SPANXN4,1,2,1,15,4,3,5,3,0
RPL23AP63,0,0,0,0,0,0,0,0,0
RNU6-255P,2,4,11,3,3,0,3,0,0
SFTA1P,0,0,5,39.001,11.999,18,15.404,4,1
TLCD1,1.011,4.067,16.807,39.252,8.811,5.281,14.894,2.073,0
PDLIM1,40,61.001,129,198.001,47,16,81,15,3
EIF3FP3,0,0,7.964,9.368,4.302,1.139,0,0,0
SMIM30,32,14,76.001,140.001,55,63,75.239,26.999,8
EMX2OS,83.851,144.303,462.593,782.611,280.586,146.533,236.276,78.685,18.407
MRPL23-AS1,0,1,9,22,7,4,5,3,1
OR4A18P,0,0,0,46,15.46,15,23,4,3
LINC01696,0,1,3,6,3,0,5,1,0
DAAM1,97,103.001,401.476,961.822,263.355,179.326,419.132,77,26
RN7SL840P,1.055,3.978,66.244,80.414,25.527,6.078,4.177,5.185,0
GOLGA6B,0,4,9.465,0,14.171,21.431,4.186,4.111,0
PPIAL4F,0,0,0,0,0,0,0,0,0
KRR1P1,0,1,219,89,57,3,12,2,0
RPS13P2,0,0,19.757,14.885,6.239,1.017,5.084,1.163,0
AC069272.1,1,1,3,8,5,3,11,1,0
AP001830.1,1,3,10,31.159,8,22,9,6,0
AC138932.2,13.457,30.698,0,77.578,51.794,35.747,13.992,0,0
