B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated	Plasma.cells	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	Dendritic.cells.resting	Dendritic.cells.activated	Eosinophils
HH001_A1_SA_S1	0.0144	0	0.1911	0.0411	0	0.3531	0.1155	0	0.0345	0	0.0074	0.0247	0.0536	0.0772	0	0.0597	0	0	0	0	0	0.0278
HH001_B1_SA_S2	0.0409	0	0.1521	0.0257	0	0.3427	0.1501	0	0.058	0	0.011	0.0221	0.0446	0.071	0	0.0556	0	0.0046	0	0	0	0.0216
HH001_B3_SA_S3	0	0	0.0939	0.0434	0	0.4175	0.1072	0	0.0454	0	0.0145	0	0.0579	0.1084	0	0.0814	0	0	0	0	0.0071	0.0233
HH003_A1_SA_S4	0.001	0	0.1076	0.0231	0	0.3946	0.0798	0	0.0334	0	0.0254	0.0293	0.0442	0.1096	0	0.0631	0	0.0144	0	0	0.0496	0.025
HH003_A3_SA_S5	0.0066	0	0.1728	0.0195	0	0.3516	0.0907	0	0.036	0	0.031	0.0225	0.0469	0.1025	0	0.0655	0	0.0221	0	0	0.0165	0.0159
HH003_B3_SA_S6	0.0106	0.0379	0.0531	0	0	0.1814	0.1217	0	0.0363	0	0.0419	0.0113	0.055	0.1761	0	0.0906	0	0.0223	0.0388	0	0.0755	0.0475
HH003_D_SA_S7	0.0224	0	0.1115	0.0215	0	0.311	0.1176	0	0.0473	0	0.0288	0.0044	0.051	0.1253	0	0.0704	0	0.0287	0	0	0.0373	0.0227
HH003_K_SA_S8	0.0162	0	0.1156	0.0201	0	0.2284	0.1277	0	0.0185	0	0.0593	0.0103	0.0526	0.1268	0	0.0889	0	0.0378	0.018	0	0.0559	0.0238
HH003_R_SA_S9	0	0.0449	0.0854	0.0302	0.0159	0.1881	0.1656	0	0.047	0	0.0507	0.0084	0.0172	0.117	0	0.0788	0	0.0244	0.0177	0	0.0618	0.0469
