SAMPLE,nIGH,nIGK,nIGL,nTCRA,nTCRB,nTCRD,nTCRG,loadIGH,loadIGK,loadIGL,loadTCRA,loadTCRB,loadTCRD,loadTCRG,alphaIGH,alphaIGK,alphaIGL,alphaTCRA,alphaTCRB,alphaTCRD,alphaTCRG
HH001_A1_SA_S1.input_1,6,8,0,3,0,0,0,12,20,0,6,0,0,0,  1.79175946923,   2.01269264381,  0,   1.09861228867,0,0,0
HH001_A1_SA_S1.input_2,0,1,1,2,0,0,0,0,2,  2,4,0,0,0,  0,               -0.0,          -0.0, 0.69314718056,0,0,0
HH001_A1_SA_S1.input_3,1,2,0,2,0,0,0,2,4,  0,4,0,0,0,  -0.0,            0.69314718056,  0,   0.69314718056,0,0,0

HH001_A1_SA_S1,7,11,1,7,0,0,0,14,26,2,14,0,0,0,1.79175946923,2.7058,0,2.484904,0,0,0
