SAMPLE,line_count
HH001_A1_SA_S1,348591588
HH001_B1_SA_S2,330455692
HH001_B3_SA_S3,775919760
HH003_A1_SA_S4,848800016
HH003_A3_SA_S5,391114564
HH003_B3_SA_S6,300939932
HH003_D_SA_S7,254495132
HH003_K_SA_S8,158776644
HH003_R_SA_S9,60501888
